dat_year;AdGERMA;GiGEMAC;SeGEMAC;ChGEMAC;LoGERMA
1950;NA;NA;NA;NA;NA
1951;NA;NA;NA;NA;NA
1952;NA;NA;NA;NA;NA
1953;NA;NA;NA;NA;NA
1954;NA;NA;NA;NA;NA
1955;NA;NA;NA;NA;NA
1956;NA;NA;NA;NA;NA
1957;NA;NA;NA;NA;NA
1958;NA;NA;NA;NA;NA
1959;NA;NA;NA;NA;NA
1960;NA;NA;NA;NA;NA
1961;NA;NA;NA;NA;NA
1962;NA;NA;NA;NA;NA
1963;NA;NA;NA;NA;NA
1964;NA;NA;NA;NA;NA
1965;NA;NA;NA;NA;NA
1966;NA;NA;NA;NA;NA
1967;NA;NA;NA;NA;NA
1968;NA;NA;NA;NA;NA
1969;NA;NA;NA;NA;NA
1970;NA;NA;NA;NA;NA
1971;NA;NA;NA;NA;NA
1972;NA;NA;NA;NA;NA
1973;NA;NA;NA;NA;NA
1974;NA;NA;NA;NA;NA
1975;NA;NA;NA;NA;NA
1976;NA;NA;NA;NA;NA
1977;NA;NA;NA;NA;NA
1978;NA;NA;NA;NA;NA
1979;NA;NA;NA;NA;NA
1980;NA;NA;NA;NA;NA
1981;NA;NA;NA;NA;NA
1982;NA;NA;NA;NA;NA
1983;NA;NA;NA;NA;NA
1984;NA;NA;NA;NA;NA
1985;NA;NA;NA;NA;NA
1986;NA;NA;NA;NA;NA
1987;NA;NA;NA;NA;NA
1988;NA;NA;NA;NA;NA
1989;NA;NA;NA;NA;NA
1990;NA;NA;NA;NA;NA
1991;NA;NA;NA;NA;NA
1992;NA;NA;NA;NA;NA
1993;NA;NA;NA;NA;NA
1994;NA;NA;NA;NA;NA
1995;NA;NA;NA;NA;NA
1996;NA;NA;NA;NA;NA
1997;NA;NA;NA;NA;NA
1998;NA;NA;NA;NA;NA
1999;16400;136000;NA;NA;NA
2000;59200;NA;NA;NA;NA
2001;6600;NA;NA;NA;NA
2002;12300;NA;NA;NA;NA
2003;1600;NA;NA;NA;NA
2004;3400;NA;NA;NA;55210
2005;11600;NA;NA;NA;53240
2006;NA;NA;NA;NA;54120
2007;NA;NA;1800;5288;NA
2008;NA;NA;3300;5550;NA
2009;NA;NA;1550;NA;NA
2010;NA;NA;2448;NA;NA
2011;NA;NA;NA;NA;NA
2012;NA;NA;NA;NA;NA
2013;NA;NA;NA;NA;NA
2014;NA;NA;NA;NA;NA
2015;NA;NA;NA;NA;NA
2016;NA;NA;NA;NA;NA
2017;NA;NA;NA;NA;NA
2018;NA;NA;NA;NA;NA
