Year;WGHarv;WGUnHarv;WGMeanWt;WGSampleNAC;WGSampleNEAC;WGPropNACMin;WGPropNACMax;WGProp1SWNAC;WGProp1SWNEAC;SPMNLarge;SPMNSmall
1970;0;0;3;0;0;0.2;0.5;0.9;1;0;0
1971;2689;0;3.14;0;0;0.28;0.4;0.945125;0.964125;0;0
1972;2113;0;3.44;0;0;0.34;0.37;0.945125;0.964125;0;0
1973;2341;0;4.18;0;0;0.39;0.59;0.945125;0.964125;0;0
1974;1917;0;3.58;0;0;0.39;0.46;0.945125;0.964125;0;0
1975;2030;0;3.12;0;0;0.4;0.48;0.945125;0.964125;0;0
1976;1175;0;3.04;0;0;0.38;0.48;0.945125;0.964125;348;731
1977;1420;0;3.2125;0;0;0.38;0.57;0.945125;0.964125;0;0
1978;984;0;3.35;0;0;0.47;0.57;0.945125;0.964125;0;0
1979;1395;0;3.34;0;0;0.48;0.52;0.945125;0.964125;0;0
1980;1194;0;3.22;0;0;0.45;0.51;0.945125;0.964125;0;0
1981;1264;0;3.17;0;0;0.58;0.61;0.945125;0.964125;0;0
1982;1077;0;3.11;0;0;0.6;0.64;0.945125;0.964125;0;0
1983;310;0;3.1;0;0;0.38;0.41;0.945125;0.964125;348;731
1984;297;0;3.11;0;0;0.47;0.53;0.945125;0.964125;348;731
1985;864;0;2.87;0;0;0.46;0.53;0.925;0.95;348;731
1986;960;0;3.03;0;0;0.48;0.66;0.951;0.975;290;609
1987;966;0;3.16;0;0;0.54;0.63;0.963;0.98;232;487
1988;893;0;3.18;0;0;0.38;0.49;0.967;0.981;232;487
1989;337;0;2.87;0;0;0.52;0.6;0.923;0.955;232;487
1990;274;0;2.69;0;0;0.7;0.79;0.957;0.963;218;458
1991;472;0;2.65;0;0;0.61;0.69;0.956;0.934;135;283
1992;237;0;2.81;0;0;0.5;0.57;0.919;0.975;269;565
1993;0;12;2.725;0;0;0.5;0.76;0.946;0.96075;342;717
1994;0;12;2.725;0;0;0.5;0.76;0.946;0.96075;398;834
1995;83;20;2.56;0;0;0.65;0.72;0.968;0.973;97;204
1996;92;20;2.88;0;0;0.71;0.76;0.941;0.961;182;382
1997;58;5;2.71;0;0;0.75;0.84;0.982;0.993;173;363
1998;11;11;2.78;0;0;0.73;0.84;0.968;0.994;268;562
1999;19;12.5;3.08;0;0;0.84;0.97;0.968;1;270;566
2000;21;10;2.57;344;146;0;0;0.974;1;263;552
2001;43;10;3;1;1;0.67;0.71;0.982;0.978;250;525
2002;9.8;10;2.9;338;163;0;0;0.973;1;227;476
2003;12.3;10;3.04;1212;567;0;0;0.967;0.989;348;731
2004;17.2;10;3.18;1192;447;0;0;0.97;0.97;196;892
2005;17.3;10;3.31;585;182;0;0;0.924;0.967;351;926
2006;23;10;3.24;857;326;0;0;0.93;0.988;469;985
2007;24.8;10;2.98;917;206;0;0;0.965;0.956;218;458
2008;28.6;10;3.08;1593;260;0;0;0.974;0.988;442;926
2009;28;10;3.5;1483;138;0;0;0.934;0.894;408;857
2010;43.1;10;3.42;991;249;0;0;0.982;0.975;470;602
2011;27.4;10;3.4;888;72;0;0;0.939;0.831;1031;145
2012;34.5;10;3.44;1121;252;0;0;0.932;0.98;156;327
2013;47.7;10;3.35;938;211;0;0;0.949;0.966;1272;542
2014;70.482;10;3.32;660;260;0;0;0.913;0.961;611;440
2015;60.9;10;3.37;1337;337;0;0;0.97;0.982;410;988
2016;30.249;10;3.18;864;438;0;0;0.935;0.955;286;1396
2017;28;10;3.46;734;252;0;0;0.925;0.931;78;1045
